reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,label
a3b0f915-a628-48c7-80b3-640bae7c6fff,Pur Wanto,https://play-lh.googleusercontent.com/a/ACg8ocItV8drlDvDFoS_3V9I9nr1XMd66i5ejH37Ct5TJ16xYv1J6A=mo,Tolong untuk ada fitur pembelian tiket LRT nya min,4,0,6.7.0,2024-10-01 06:17:54,,,6.7.0,"netral"
a95973d4-2986-49da-a6f3-a07124ea8491,Nasa Nasa,https://play-lh.googleusercontent.com/a/ACg8ocL4-dWYSyXaDKoxPb3LPzTjl0n_i9uN7kBe553Wp4FWv-6gcw=mo,"Jadul, transaksi gagal, uangnya tetap kesedot dan tidak kembali, klaimnya ribet .",1,0,6.7.0,2024-10-01 06:06:56,,,6.7.0,"negatif"
ec5101a7-56e1-492e-a5e3-e675f574cab0,Dedi Sethya,https://play-lh.googleusercontent.com/a/ACg8ocIkIP9jrDNEmx6H98rGfud7vqR3pMxOwqokSe9URjyRgInwvg=mo,Aplikasi nya sekarang nyebelin.....,2,0,6.8.1,2024-10-01 05:38:50,,,6.8.1,"negatif"
44c3720b-2c3a-4e0d-bb93-ad7012e0e5d9,Asep Suherman,https://play-lh.googleusercontent.com/a/ACg8ocJWhjdu90Yk5xTAgZmmKdgEWR-_--RWGcngF7LByRVuA5EIzQ=mo,Parah semenjak di upgrade jd gak bisa masuk,1,0,6.8.1,2024-10-01 04:47:47,,,6.8.1,"negatif"
eab500c4-6492-42db-8b72-66752cee4600,Lucky Wiguna,https://play-lh.googleusercontent.com/a/ACg8ocJSKoiEbNRhdxlVUHTXpCk6Q7I-1IiNiDc-hhU5x_bn_3hZSdfj=mo,Proses pembatalan tiket terlalu lama,1,0,6.7.0,2024-10-01 03:08:21,,,6.7.0,"negatif"
0b778093-36b5-40d0-8090-3a69ed966acb,Wartomo Yunianto,https://play-lh.googleusercontent.com/a-/ALV-UjXCx1S2n7zHN1ojLBFJmbN-OG7gXTfWrriBsJYxwTl3idVjRqbs,"Untuk pengguna app ini hati"" jika melakukan transaksi bayar disini, saya punya pengalaman tidak baik, transaksi debet rekening ( ovo ) berhasil, tetapi kode boking tidak didapat ( status gagal bayar ), saya urus refund sampai ke CS stasiun balapan yang janjinya 1 X 24 jam dana akan dikirim kembali, kenyataannya sampai sekarang zonk. Saya ga tau kemana larinya uang saya.",1,1,6.8.1,2024-10-01 02:29:47,,,6.8.1,"negatif"
dac75aa9-26f5-4b78-8aa3-a849396d20b8,Much Lorex,https://play-lh.googleusercontent.com/a-/ALV-UjUrLO_n0o8JSlkhRqdWDb5cKoIS9hLC4clcr0RE8c96oo87OhnK,Semakin buruk min.....,3,0,6.7.0,2024-10-01 01:54:44,,,6.7.0,"negatif"
81c7d31d-a62a-4770-a8ab-eb9e4172b9e0,Jeroussalem,https://play-lh.googleusercontent.com/a-/ALV-UjVD26DW03Q6UXZPX2jzj5YQ0PDePFr05_XGTN5Ei2DwS6zKYlM1,JELEK.. PEMBAYARAAN SELALU GAGAL 👎👎,1,0,6.8.1,2024-10-01 01:00:18,,,6.8.1,"negatif"
23da558a-b623-434a-8b6e-b5ccd040179a,Margiyono Martodikromo,https://play-lh.googleusercontent.com/a-/ALV-UjX6Gua4SF_4CDsySku6hnrZu9ZJTKpNADk8If_aXLcrMhgHzhmh,Kenapa sekarang akaes KAI tdk bisa diakses,2,1,6.8.1,2024-10-01 00:05:21,,,6.8.1,"negatif"
ae14a12f-c27b-4c20-9810-0d315c9d8cba,Bayi Beruang,https://play-lh.googleusercontent.com/a/ACg8ocJezRsbbDBx75tMQOa6yGLLG6cpL0C7sezWRpvEr2MNeZlm8w=mo,"Aplikasi ter lemot , mana top up ga masuk lagi !!!!!",1,0,,2024-10-01 00:01:16,,,,"negatif"
